# time, u, cmd
1.365007624699999944e+01,-1.026883372105658054e-03,-8.735512965358793736e-04
1.368141981600000001e+01,-1.022196258418262005e-03,-9.151588892564177513e-04
1.371065221399999956e+01,-1.011617598123848438e-03,-9.399766568094491959e-04
1.374017248300000027e+01,-1.001388649456202984e-03,-9.356359951198101044e-04
1.377166221399999912e+01,-9.954686975106596947e-04,-9.122055489569902420e-04
1.380008234499999986e+01,-9.954686975106596947e-04,-8.849970763549208641e-04
1.382997026099999971e+01,-9.915145346894860268e-04,-8.860629168339073658e-04
1.386020754799999999e+01,-9.804113069549202919e-04,-9.229015558958053589e-04
1.389071691600000058e+01,-9.732490289025008678e-04,-9.669064893387258053e-04
1.392012150400000081e+01,-9.652688167989253998e-04,-1.005955273285508156e-03
1.394983639700000033e+01,-9.548598900437355042e-04,-1.040467992424964905e-03
1.398086323599999936e+01,-9.460221044719219208e-04,-1.068850047886371613e-03
1.401001972899999970e+01,-9.411899955011904240e-04,-1.087522250600159168e-03
1.404013504099999921e+01,-9.302881080657243729e-04,-1.093521481379866600e-03
1.407130706300000078e+01,-9.234031895175576210e-04,-1.094385515898466110e-03
1.410008969000000079e+01,-9.234031895175576210e-04,-1.099571934901177883e-03
1.412990673500000050e+01,-9.152829297818243504e-04,-1.111997640691697598e-03
1.415996890199999925e+01,-9.112146217375993729e-04,-1.126885879784822464e-03
1.419080227799999960e+01,-9.022453450597822666e-04,-1.140409032814204693e-03
1.422009395899999973e+01,-8.932501077651977539e-04,-1.156159094534814358e-03
1.424996765200000048e+01,-8.817646303214132786e-04,-1.178388833068311214e-03
1.428375559800000083e+01,-8.751830901019275188e-04,-1.203417894430458546e-03
1.431093085100000017e+01,-8.751830901019275188e-04,-1.215994008816778660e-03
1.433996643400000082e+01,-8.702382328920066357e-04,-1.211658469401299953e-03
1.436988945400000084e+01,-8.495554793626070023e-04,-1.121041481383144855e-03
1.440085106299999929e+01,-8.429103763774037361e-04,-9.417551918886601925e-04
1.443106769799999967e+01,-8.429103763774037361e-04,-8.610242512077093124e-04
1.446003823400000066e+01,-8.354195160791277885e-04,-9.114945423789322376e-04
1.449083631899999958e+01,-8.262423798441886902e-04,-9.804674191400408745e-04
1.452075160899999950e+01,-8.208084618672728539e-04,-1.034439657814800739e-03
1.455071859999999973e+01,-8.099162951111793518e-04,-1.093373983167111874e-03
1.458036099699999966e+01,-8.036177605390548706e-04,-1.171932206489145756e-03
1.460997612499999931e+01,-7.926751859486103058e-04,-1.242311205714941025e-03
1.464028804099999981e+01,-7.804331253282725811e-04,-1.300542033277451992e-03
1.467012354300000077e+01,-7.745093898847699165e-04,-1.362414448522031307e-03
1.470022357999999940e+01,-7.745093898847699165e-04,-1.421870314516127110e-03
1.472971568800000064e+01,-7.711204234510660172e-04,-1.469779061153531075e-03
1.476036661800000083e+01,-7.605113787576556206e-04,-1.506709842942655087e-03
1.479094295600000031e+01,-7.537070196121931076e-04,-1.536244177259504795e-03
1.482074199600000064e+01,-7.409186800941824913e-04,-1.558458083309233189e-03
1.485006093400000005e+01,-7.336547132581472397e-04,-1.571726752445101738e-03
1.488188232000000077e+01,-7.293759845197200775e-04,-1.579329953528940678e-03
1.491018631300000052e+01,-7.152264006435871124e-04,-1.582872588187456131e-03
1.494209807000000012e+01,-7.083496311679482460e-04,-1.583722420036792755e-03
1.497119819199999924e+01,-7.023238576948642731e-04,-1.603352488018572330e-03
1.500031197400000060e+01,-7.023238576948642731e-04,-1.647067372687160969e-03
1.503040269899999970e+01,-7.010315894149243832e-04,-1.682548783719539642e-03
1.506014608099999919e+01,-6.889528012834489346e-04,-1.696616993285715580e-03
1.509066152599999988e+01,-6.768427556380629539e-04,-1.718489686027169228e-03
1.512058610799999947e+01,-6.664382526651024818e-04,-1.773779978975653648e-03
1.515065882100000039e+01,-6.616620812565088272e-04,-1.839673379436135292e-03
1.518222119300000017e+01,-6.494837580248713493e-04,-1.884422264993190765e-03
1.520986317600000071e+01,-6.494837580248713493e-04,-1.919791800901293755e-03
1.524053789200000075e+01,-6.425114697776734829e-04,-1.951011014170944691e-03
1.527150425299999981e+01,-6.346563459374010563e-04,-1.955471467226743698e-03
1.530066883099999941e+01,-6.329091265797615051e-04,-1.941037131473422050e-03
1.533010033699999930e+01,-6.097040604799985886e-04,-1.952603808604180813e-03
1.536011588899999936e+01,-6.009215721860527992e-04,-2.003750531002879143e-03
1.539105706299999987e+01,-6.009215721860527992e-04,-2.055256394669413567e-03
1.542065159200000046e+01,-5.916850641369819641e-04,-2.078190445899963379e-03
1.545019311699999953e+01,-5.837560747750103474e-04,-2.091834787279367447e-03
1.548120448899999957e+01,-5.766989197582006454e-04,-2.118057804182171822e-03
1.550989417199999920e+01,-5.727254902012646198e-04,-2.142061013728380203e-03
1.554013196400000041e+01,-5.652129184454679489e-04,-2.160967094823718071e-03
1.557188114600000084e+01,-5.599042051471769810e-04,-2.199535956606268883e-03
1.560043622799999952e+01,-5.599042051471769810e-04,-2.258905442431569099e-03
1.563014599699999962e+01,-5.510461051017045975e-04,-2.319431863725185394e-03
1.566043124099999950e+01,-5.430629244074225426e-04,-2.362828934565186501e-03
1.569055606599999919e+01,-5.324028898030519485e-04,-2.384840277954936028e-03
1.572150354799999938e+01,-5.230607930570840836e-04,-2.405035309493541718e-03
1.575069350799999945e+01,-5.226156208664178848e-04,-2.435729140415787697e-03
1.578100701900000047e+01,-5.181620363146066666e-04,-2.472234424203634262e-03
1.580996977699999917e+01,-5.101379938423633575e-04,-2.496765693649649620e-03
1.584031984199999954e+01,-5.007645813748240471e-04,-2.505085198208689690e-03
1.587012180700000030e+01,-5.007645813748240471e-04,-2.535894978791475296e-03
1.590025320900000061e+01,-4.945085383951663971e-04,-2.598745515570044518e-03
1.593073976500000022e+01,-4.909311537630856037e-04,-2.650286303833127022e-03
1.595994027599999932e+01,-4.774997069034725428e-04,-2.674652729183435440e-03
1.599034698500000040e+01,-4.757069691549986601e-04,-2.698605647310614586e-03
1.602099875900000114e+01,-4.721201257780194283e-04,-2.739506773650646210e-03
1.605006399999999900e+01,-4.671853675972670317e-04,-2.786838915199041367e-03
1.608035243200000153e+01,-4.622473206836730242e-04,-2.826286479830741882e-03
1.611001696900000013e+01,-4.523615352809429169e-04,-2.865695161744952202e-03
1.614021462599999879e+01,-4.523615352809429169e-04,-2.918735146522521973e-03
1.617053704099999933e+01,-4.519118519965559244e-04,-2.979841781780123711e-03
1.620024082500000162e+01,-4.402115300763398409e-04,-3.039068542420864105e-03
1.623010212599999846e+01,-4.370584501884877682e-04,-3.090471029281616211e-03
1.626020973800000036e+01,-4.375089774839580059e-04,-3.136128885671496391e-03
1.629050044399999919e+01,-4.316502891015261412e-04,-3.184712491929531097e-03
1.632062369000000146e+01,-4.275917599443346262e-04,-3.235156182199716568e-03
1.634991563899999889e+01,-4.194686480332165956e-04,-3.293431596830487251e-03
1.638142929700000039e+01,-4.194686480332165956e-04,-3.361723618581891060e-03
1.641050192899999871e+01,-4.194686480332165956e-04,-3.410319797694683075e-03
1.644040647499999963e+01,-4.086254630237817764e-04,-3.437153995037078857e-03
1.647205758699999834e+01,-4.090775328222662210e-04,-3.461123909801244736e-03
1.650072902200000158e+01,-4.068169218953698874e-04,-3.482127329334616661e-03
1.653083899099999954e+01,-4.031986754853278399e-04,-3.512731520459055901e-03
1.656067191200000011e+01,-4.045556706842035055e-04,-3.577891038730740547e-03
1.659126269300000089e+01,-1.071152626536786556e-03,-3.646224038675427437e-03
1.662191792400000168e+01,-1.071152626536786556e-03,-3.643939970061182976e-03
1.665030411700000101e+01,-1.583190052770078182e-03,-3.594298381358385086e-03
1.668155354299999971e+01,-1.579961972311139107e-03,-3.566087689250707626e-03
1.671009588000000079e+01,-1.579961972311139107e-03,-3.543269354850053787e-03
1.674119771000000156e+01,-1.578347524628043175e-03,-3.493805183097720146e-03
1.677121082600000079e+01,-1.577271148562431335e-03,-3.414963139221072197e-03
1.680075334200000015e+01,-1.572425942867994308e-03,-3.320300485938787460e-03
1.683021345499999910e+01,-1.782170147635042667e-03,-3.224106039851903915e-03
1.686013737000000035e+01,-1.936172717250883579e-03,-3.123967209830880165e-03
1.689033653399999935e+01,-2.022786065936088562e-03,-3.017790615558624268e-03
1.692048458800000077e+01,-2.028509741649031639e-03,-2.906776731833815575e-03
1.695017779100000155e+01,-2.034230623394250870e-03,-2.805182011798024178e-03
1.698140751400000070e+01,-2.028509741649031639e-03,-2.720369491726160049e-03
1.700998895800000099e+01,-2.028509741649031639e-03,-2.639359794557094574e-03
1.704031638200000032e+01,-2.027365146204829216e-03,-2.553069498389959335e-03
1.707129115900000116e+01,-2.022213535383343697e-03,-2.465961501002311707e-03
1.709984077800000080e+01,-2.024503424763679504e-03,-2.380552934482693672e-03
1.713072894800000157e+01,-2.018777886405587196e-03,-2.275340259075164795e-03
1.715982804200000089e+01,-2.018777886405587196e-03,-2.139420015737414360e-03
1.719084976699999956e+01,-2.023358596488833427e-03,-2.002187538892030716e-03
1.722097547399999939e+01,-2.026220550760626793e-03,-1.885180594399571419e-03
1.725009893600000055e+01,-2.021641004830598831e-03,-1.778972451575100422e-03
1.728184140300000138e+01,-2.020495710894465446e-03,-1.670673838816583157e-03
1.731096714699999950e+01,-2.020495710894465446e-03,-1.550008542835712433e-03
1.734016713700000167e+01,-2.017632359638810158e-03,-1.412505516782402992e-03
1.737083582500000034e+01,-2.015914069488644600e-03,-1.258704229258000851e-03
1.740019508500000001e+01,-2.019923180341720581e-03,-1.091576181352138519e-03
1.743008848899999919e+01,-2.021068474277853966e-03,-9.380480041727423668e-04
1.746012184099999942e+01,-2.022786065936088562e-03,-8.162917220033705235e-04
1.749067325400000072e+01,-2.018777886405587196e-03,-7.235836819745600224e-04
1.752020044800000065e+01,-2.024503424763679504e-03,-6.442315643653273582e-04
1.754992322200000032e+01,-2.024503424763679504e-03,-5.392048042267560959e-04
1.758126031700000169e+01,-2.014195313677191734e-03,-3.713533224072307348e-04
1.761013292599999858e+01,-2.013049554079771042e-03,-1.672527869231998920e-04
1.764045802900000126e+01,-2.017632359638810158e-03,-6.637842488999012858e-06
1.767227999099999991e+01,-2.021641004830598831e-03,1.043270021909847856e-04
1.770118018300000173e+01,-2.014768309891223907e-03,2.134589594788849354e-04
1.773257528799999960e+01,-2.014768309891223907e-03,3.280024684499949217e-04
1.776002495099999834e+01,-2.021641004830598831e-03,4.522907547652721405e-04
1.779111130900000148e+01,-2.012476557865738869e-03,6.016560364514589310e-04
1.782032081599999884e+01,-2.011330565437674522e-03,7.523713284172117710e-04
1.785032365900000073e+01,-2.017632359638810158e-03,8.822008967399597168e-04
1.788084550499999992e+01,-2.017632359638810158e-03,1.003268291242420673e-03
1.791003671800000063e+01,-2.021068474277853966e-03,1.114375307224690914e-03
1.794041641700000156e+01,-2.015914069488644600e-03,1.206680433824658394e-03
1.797203301900000127e+01,-2.013049554079771042e-03,1.285395002923905849e-03
